row_id,zip,week,week_start_date,week_end_date,absolute_week,tests,cases,deaths,population
60636-2020-45,60636.0,45,2020-11-01,2020-11-07,35.0,796.0,151.0,1.0,32203
60626-2020-43,60626.0,43,2020-10-18,2020-10-24,33.0,2133.0,94.0,0.0,49730
60626-2020-44,60626.0,44,2020-10-25,2020-10-31,34.0,2306.0,143.0,2.0,49730
60626-2020-45,60626.0,45,2020-11-01,2020-11-07,35.0,2490.0,229.0,1.0,49730
60626-2020-47,60626.0,47,2020-11-15,2020-11-21,37.0,3435.0,191.0,3.0,49730
60626-2020-48,60626.0,48,2020-11-22,2020-11-28,38.0,2644.0,111.0,2.0,49730
60626-2020-49,60626.0,49,2020-11-29,2020-12-05,39.0,2683.0,144.0,1.0,49730
60626-2020-50,60626.0,50,2020-12-06,2020-12-12,40.0,2810.0,135.0,3.0,49730
60626-2020-51,60626.0,51,2020-12-13,2020-12-19,41.0,2920.0,133.0,2.0,49730
60626-2020-52,60626.0,52,2020-12-20,2020-12-26,42.0,2387.0,106.0,4.0,49730
60626-2020-53,60626.0,53,2020-12-27,2021-01-02,43.0,2432.0,146.0,3.0,49730
60626-2021-1,60626.0,1,2021-01-03,2021-01-09,44.0,3042.0,153.0,3.0,49730
60626-2021-10,60626.0,10,2021-03-07,2021-03-13,53.0,3113.0,36.0,0.0,49730
60626-2021-11,60626.0,11,2021-03-14,2021-03-20,54.0,3720.0,54.0,1.0,49730
60626-2021-16,60626.0,16,2021-04-18,2021-04-24,59.0,3564.0,43.0,2.0,49730
60633-2021-10,60633.0,10,2021-03-07,2021-03-13,53.0,235.0,8.0,0.0,12871
60633-2021-11,60633.0,11,2021-03-14,2021-03-20,54.0,228.0,5.0,0.0,12871
60633-2021-12,60633.0,12,2021-03-21,2021-03-27,55.0,208.0,4.0,0.0,12871
60633-2021-13,60633.0,13,2021-03-28,2021-04-03,56.0,200.0,6.0,0.0,12871
60622-2021-39,60622.0,39,2021-09-26,2021-10-02,82.0,2920.0,55.0,0.0,52793
60622-2021-40,60622.0,40,2021-10-03,2021-10-09,83.0,2716.0,49.0,0.0,52793
60626-2021-12,60626.0,12,2021-03-21,2021-03-27,55.0,3483.0,50.0,0.0,49730
60626-2021-13,60626.0,13,2021-03-28,2021-04-03,56.0,3835.0,87.0,2.0,49730
60626-2021-14,60626.0,14,2021-04-04,2021-04-10,57.0,3762.0,89.0,1.0,49730
60626-2021-15,60626.0,15,2021-04-11,2021-04-17,58.0,4146.0,56.0,2.0,49730
60626-2021-17,60626.0,17,2021-04-25,2021-05-01,60.0,3749.0,48.0,0.0,49730
60626-2021-19,60626.0,19,2021-05-09,2021-05-15,62.0,2445.0,25.0,0.0,49730
60626-2021-2,60626.0,2,2021-01-10,2021-01-16,45.0,3162.0,137.0,3.0,49730
60626-2021-20,60626.0,20,2021-05-16,2021-05-22,63.0,2171.0,20.0,1.0,49730
